These are the errors of type: Documentation Not Found


Full Name,Detail Text,Called Function,Source Location(s),Platform
Layout\AppVerifierPlugins\Release_x64\MSECvrf.dll,VerifierRegisterProvider is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,vrfcore.dll!VerifierRegisterProvider (),d:\bld\18\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:535,Windows
Layout\AppVerifierPlugins\Release_x64\MSECvrf.dll,VerifierStopMessageEx is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,vrfcore.dll!VerifierStopMessageEx (),d:\bld\18\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryA:100; d:\bld\18\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryA:130; d:\bld\18\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryExA:240; d:\bld\18\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryExA:272; d:\bld\18\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryExW:314; d:\bld\18\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryExW:346; d:\bld\18\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryW:168; d:\bld\18\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryW:200; d:\bld\18\8\sources\src\appverifierplugins\vfpkiverifierhooks.cp....refer to TEMP\API0000_err.xml,Windows
Layout\AppVerifierPlugins\Release_x64\MSECvrf.dll,VerifierUnregisterLayer is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,vrfcore.dll!VerifierUnregisterLayer (),d:\bld\18\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:636; d:\bld\18\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:642; d:\bld\18\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:648,Windows
x86\Release\ThreatModelingTool\System.Collections.Immutable.dll,System.Runtime.InteropServices.Marshal.Copy is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,system.runtime.interopservices.dll!System.Runtime.InteropServices.Marshal.Copy,c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:258; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:262; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:266; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:270; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:274; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablear....refer to TEMP\API0000_err.xml,NETFX
x86\Release\ThreatModelingTool\System.Collections.Immutable.dll,System.Runtime.InteropServices.Marshal.Copy is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,system.runtime.interopservices.dll!System.Runtime.InteropServices.Marshal.Copy,c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:258; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:262; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:266; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:270; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:274; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablear....refer to TEMP\API0000_err.xml,Windows
x86\Release\ThreatModelingTool\System.Collections.Immutable.dll,System.Runtime.InteropServices.Marshal.Copy is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,system.runtime.interopservices.dll!System.Runtime.InteropServices.Marshal.Copy,c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:258; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:262; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:266; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:270; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:274; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablear....refer to TEMP\API0000_err.xml,Windows
x86\Release\ThreatModelingTool\System.Collections.Immutable.dll,System.Runtime.InteropServices.Marshal.Copy is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,system.runtime.interopservices.dll!System.Runtime.InteropServices.Marshal.Copy,c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:258; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:262; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:266; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:270; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:274; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablear....refer to TEMP\API0000_err.xml,Windows
x86\Release\ThreatModelingTool\System.Collections.Immutable.dll,System.Runtime.InteropServices.Marshal.Copy is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,system.runtime.interopservices.dll!System.Runtime.InteropServices.Marshal.Copy,c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:258; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:262; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:266; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:270; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:274; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablear....refer to TEMP\API0000_err.xml,Windows
x86\Release\ThreatModelingTool\System.Collections.Immutable.dll,System.Runtime.InteropServices.Marshal.Copy is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,system.runtime.interopservices.dll!System.Runtime.InteropServices.Marshal.Copy,c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:258; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:262; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:266; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:270; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:274; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablear....refer to TEMP\API0000_err.xml,Windows
x86\Release\ThreatModelingTool\System.Collections.Immutable.dll,System.Runtime.InteropServices.Marshal.Copy is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,system.runtime.interopservices.dll!System.Runtime.InteropServices.Marshal.Copy,c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:258; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:262; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:266; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:270; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:274; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablear....refer to TEMP\API0000_err.xml,Windows
x86\Release\ThreatModelingTool\System.Collections.Immutable.dll,System.Runtime.InteropServices.Marshal.Copy is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,system.runtime.interopservices.dll!System.Runtime.InteropServices.Marshal.Copy,c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:258; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:262; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:266; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:270; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:274; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablear....refer to TEMP\API0000_err.xml,Windows
x86\Release\ThreatModelingTool\System.Collections.Immutable.dll,System.Runtime.InteropServices.Marshal.Copy is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,system.runtime.interopservices.dll!System.Runtime.InteropServices.Marshal.Copy,c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:258; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:262; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:266; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:270; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablearray.cs!System.Collections.Immutable.ImmutableArray::Create:274; c:\b\4745\2433\src\immutable\public\src\system.collections.immutable\immutablear....refer to TEMP\API0000_err.xml,Windows
