These are the errors of type: Documentation Not Found


Full Name,Detail Text,Called Function,Source Location(s),Platform
Layout\AppVerifierPlugins\Release_Win32\MSECvrf.dll,RtlDeleteCriticalSection is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,ntdll.dll!RtlDeleteCriticalSection (),d:\bld\20\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:653; d:\bld\20\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:657,Windows
Layout\AppVerifierPlugins\Release_Win32\MSECvrf.dll,RtlEnterCriticalSection is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,ntdll.dll!RtlEnterCriticalSection (),d:\bld\20\8\sources\src\appverifierplugins\vfpkiverifierhooks.cpp!VfInitSecurityInterfaceA:1800; d:\bld\20\8\sources\src\appverifierplugins\vfpkiverifierhooks.cpp!VfInitSecurityInterfaceW:1844,Windows
Layout\AppVerifierPlugins\Release_Win32\MSECvrf.dll,VerifierIsLayerEnabled is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,vrfcore.dll!VerifierIsLayerEnabled (),d:\bld\20\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:594; d:\bld\20\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:602; d:\bld\20\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:610,Windows
Layout\AppVerifierPlugins\Release_Win32\MSECvrf.dll,VerifierRegisterLayer is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,vrfcore.dll!VerifierRegisterLayer (),d:\bld\20\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:563; d:\bld\20\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:569; d:\bld\20\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:575,Windows
Layout\AppVerifierPlugins\Release_Win32\MSECvrf.dll,VerifierRegisterProvider is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,vrfcore.dll!VerifierRegisterProvider (),d:\bld\20\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:541,Windows
Layout\AppVerifierPlugins\Release_Win32\MSECvrf.dll,VerifierStopMessageEx is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,vrfcore.dll!VerifierStopMessageEx (),d:\bld\20\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryA:100; d:\bld\20\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryA:130; d:\bld\20\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryExA:240; d:\bld\20\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryExA:272; d:\bld\20\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryExW:314; d:\bld\20\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryExW:346; d:\bld\20\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryW:168; d:\bld\20\8\sources\src\appverifierplugins\vfdllhijackinghooks.cpp!VfHookLoadLibraryW:200; d:\bld\20\8\sources\src\appverifierplugins\vfpkiverifierhooks.cp....refer to TEMP\API0000_err.xml,Windows
Layout\AppVerifierPlugins\Release_Win32\MSECvrf.dll,VerifierUnregisterLayer is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,vrfcore.dll!VerifierUnregisterLayer (),d:\bld\20\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:636; d:\bld\20\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:642; d:\bld\20\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:648,Windows
Layout\AppVerifierPlugins\Release_x64\MSECvrf.dll,RtlDeleteCriticalSection is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,ntdll.dll!RtlDeleteCriticalSection (),d:\bld\18\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:653; d:\bld\18\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:657,Windows
Layout\AppVerifierPlugins\Release_x64\MSECvrf.dll,RtlEnterCriticalSection is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,ntdll.dll!RtlEnterCriticalSection (),d:\bld\18\8\sources\src\appverifierplugins\vfpkiverifierhooks.cpp!VfInitSecurityInterfaceA:1804; d:\bld\18\8\sources\src\appverifierplugins\vfpkiverifierhooks.cpp!VfInitSecurityInterfaceW:1848,Windows
Layout\AppVerifierPlugins\Release_x64\MSECvrf.dll,VerifierIsLayerEnabled is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,vrfcore.dll!VerifierIsLayerEnabled (),d:\bld\18\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:594; d:\bld\18\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:602; d:\bld\18\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:610,Windows
Layout\AppVerifierPlugins\Release_x64\MSECvrf.dll,VerifierRegisterLayer is either an internal Platform interface or a call internal to the software set or meta tags correctly associating it with an MSDN.com reference page have not been submitted to MSDN.com by the owning documentation team.,vrfcore.dll!VerifierRegisterLayer (),d:\bld\18\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:563; d:\bld\18\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:569; d:\bld\18\8\sources\src\appverifierplugins\vfmain.cpp!_DllMain:575,Windows
